State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
6,METRO23420M23420,"Fresno, CA MSA",709,737,931,1308,1527,CA,930450
6,METRO25260M25260,"Hanford-Corcoran, CA MSA",516,611,827,1176,1236,CA,152982
6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",988,1195,1542,2085,2323,CA,9818605
6,METRO31100MM5945,"Orange County, CA HUD Metro FMR Area",1126,1294,1621,2268,2525,CA,3010232
6,METRO31460M31460,"Madera-Chowchilla, CA MSA",689,694,939,1364,1496,CA,150865
6,METRO32900M32900,"Merced, CA MSA",536,621,817,1204,1447,CA,255793
6,METRO33700M33700,"Modesto, CA MSA",628,775,994,1465,1700,CA,514453
6,METRO34900M34900,"Napa, CA MSA",835,1047,1401,1999,2006,CA,136484
6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",1003,1198,1609,2222,2572,CA,823318
6,METRO39820M39820,"Redding, CA MSA",796,819,1029,1516,1690,CA,177223
6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",763,879,1116,1577,1924,CA,4224851
6,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",717,855,1073,1581,1900,CA,1948278
6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",802,866,1170,1724,2011,CA,200849
6,METRO41500M41500,"Salinas, CA MSA",929,1045,1316,1919,2146,CA,415057
6,METRO41740M41740,"San Diego-Carlsbad-San Marcos, CA MSA",1037,1140,1495,2174,2648,CA,3095313
6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",963,1168,1469,2051,2517,CA,2559296
6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",1205,1569,1979,2688,3250,CA,1776095
6,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",1160,1357,1730,2440,2766,CA,1781642
6,METRO41940N06069,"San Benito County, CA HUD Metro FMR Area",749,931,1259,1855,2230,CA,55269
6,METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",814,941,1215,1790,1867,CA,269637
6,METRO42060M42060,"Santa Barbara-Santa Maria-Goleta, CA MSA",1157,1330,1594,2130,2466,CA,423895
6,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",1039,1257,1700,2191,2444,CA,262382
6,METRO42220M42220,"Santa Rosa-Petaluma, CA MSA",926,1080,1414,2084,2443,CA,483878
6,METRO44700M44700,"Stockton, CA MSA",676,806,1057,1558,1872,CA,685306
6,METRO46700M46700,"Vallejo-Fairfield, CA MSA",787,991,1241,1829,2174,CA,413344
6,METRO47300M47300,"Visalia-Porterville, CA MSA",619,635,826,1217,1415,CA,442179
6,METRO49700M49700,"Yuba City, CA MSA",556,670,858,1240,1468,CA,166892
6,NCNTY06003N06003,"Alpine County, CA",726,737,997,1242,1609,CA,1175
6,NCNTY06005N06005,"Amador County, CA",702,872,1180,1566,1906,CA,38091
6,NCNTY06009N06009,"Calaveras County, CA",708,771,973,1434,1723,CA,45578
6,NCNTY06011N06011,"Colusa County, CA",584,588,795,1171,1408,CA,21419
6,NCNTY06015N06015,"Del Norte County, CA",671,676,914,1347,1470,CA,28610
6,NCNTY06021N06021,"Glenn County, CA",595,599,811,1170,1436,CA,28122
6,NCNTY06023N06023,"Humboldt County, CA",702,771,1040,1533,1783,CA,134623
6,NCNTY06027N06027,"Inyo County, CA",718,747,889,1310,1575,CA,18546
6,NCNTY06033N06033,"Lake County, CA",681,685,927,1366,1380,CA,64665
6,NCNTY06035N06035,"Lassen County, CA",750,793,1073,1500,1506,CA,34895
6,NCNTY06043N06043,"Mariposa County, CA",678,689,932,1161,1504,CA,18251
6,NCNTY06045N06045,"Mendocino County, CA",753,806,1064,1466,1772,CA,87841
6,NCNTY06049N06049,"Modoc County, CA",426,493,585,862,1029,CA,9686
6,NCNTY06051N06051,"Mono County, CA",969,1107,1313,1635,2119,CA,14202
6,NCNTY06057N06057,"Nevada County, CA",825,830,1100,1621,1874,CA,98764
6,NCNTY06063N06063,"Plumas County, CA",614,763,1032,1285,1697,CA,20007
6,NCNTY06091N06091,"Sierra County, CA",608,618,836,1232,1349,CA,3240
6,NCNTY06093N06093,"Siskiyou County, CA",573,683,872,1271,1431,CA,44900
